CODE;COMPANY;SECTORS;SUBSECTORS;SEGMENTS
UTEC;UNITED TECH;Capital Goods and Services;Transportation Equipment and Components;Aerospace and Defense
VALE;VALE;Basic Materials;Mining;Metalic Minerals
VERE;FII VEREDA;Financial;Financial Management and Mutual Funds;Real Estate Funds
VERZ;VERIZON;Telecommunications;Telecommunications;Telecommunications
VISA;VISA INC;Financial;Diversified Financial Services;Diversified Financial Services
VIVR;VIVER;Consumer Cyclical;Heavy Construction;Homebuilding 
VIVT;TELEF BRASIL;Telecommunications;Telecommunications;Telecommunications
VLCR;FDC VALECRED;Financial;Financial Management and Mutual Funds;Receivables-Backed Funds
VLID;VALID;Capital Goods and Services;Diversified Services;Diversified Services
VLJS;FII VQ LAJES;Financial;Financial Management and Mutual Funds;Real Estate Funds
VLOE;VALERO ENER;Oil, Gas and Biofuels;Oil, Gas and Biofuels;Exploration, Refining and Distribution
VLOL;FII OLIMPIA;Financial;Financial Management and Mutual Funds;Real Estate Funds
VOES;VIAOESTE;Capital Goods and Services;Transportation;Toll Roads and Highways
VPSI;FII POLO SHO;Financial;Financial Management and Mutual Funds;Real Estate Funds
VRTA;FII FATOR VE;Financial;Financial Management and Mutual Funds;Real Estate Funds
VSPT;FER C ATLANT;Capital Goods and Services;Transportation;Railroads
VULC;VULCABRAS;Consumer Cyclical;Textiles, Apparel and Footwear;Footwear
VVAR;VIAVAREJO;Consumer Cyclical;Retail;Electronics and Household Appliance
WALM;WAL MART;Consumer Non Cyclical;Retail and Distribution;Food Retailers
WEGE;WEG;Capital Goods and Services;Machines and Equipments;Motors, Compressors and Others
WFCO;WELLS FARGO;Financial;Financial Intermediaries;Banks
WGBA;WALGREEN B.A;Health;Retail and Distribution;Pharmaceutical and Others Products
WHRL;WHIRLPOOL;Consumer Cyclical;Household Products;Household Appliance
WIZS;WIZ S.A.;Financial;Insurance, Life and Multi-line;Insurance Brokers
WLMM;WLM IND COM;Capital Goods and Services;Retail;Transportation Material
WPLZ;FII W PLAZA;Financial;Financial Management and Mutual Funds;Real Estate Funds
WSON;WILSON SONS;Capital Goods and Services;Transportation;Warehousing and Storage
WTPI;WTORRE PIC;Financial;Asset-backed Securitization;Asset-backed Securitization
WTVP;BRPR 55 SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
WTVR;BRPR 56 SEC;Financial;Asset-backed Securitization;Asset-backed Securitization
WUNI;WESTERNUNION;Financial;Diversified Financial Services;Diversified Financial Services
XBOV;CAIXAETFXBOV;Financial;Financial Management and Mutual Funds;Mutual Funds
XPCM;FII XP MACAE;Financial;Financial Management and Mutual Funds;Real Estate Funds
XPOM;FIP XP OMEGA;Financial;Financial Management and Mutual Funds;Mutual Funds
XPTD;FIA TOP DIV;Financial;Financial Management and Mutual Funds;Mutual Funds
XRXB;XEROX CORP;Information Technology;Hardware and Equipments;Hardware and Equipments
XTED;FII TRXE COR;Financial;Financial Management and Mutual Funds;Real Estate Funds
