trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2964,False,"{'a': 0.999, 'e': 0.5000831188739159}",25,0,-57.452925005793226,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
2965,False,"{'a': 0.999, 'e': 0.5000822057311192}",35,24,-21.658955238900106,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
2966,False,"{'a': 0.999, 'e': 0.5000812971409857}",20,0,-27.97299208234976,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
2967,False,"{'a': 0.999, 'e': 0.5000803930808254}",25,0,9.257499942732558,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
2968,False,"{'a': 0.999, 'e': 0.5000794935280612}",20,12,1.42501837054283,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2969,False,"{'a': 0.999, 'e': 0.5000785984602287}",25,15,-56.17958069349225,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
2970,False,"{'a': 0.999, 'e': 0.500077707854975}",20,5,-50.98972410359304,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
2971,False,"{'a': 0.999, 'e': 0.5000768216900587}",30,16,16.560552222466846,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2972,False,"{'a': 0.999, 'e': 0.5000759399433494}",30,0,18.05445820368989,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
2973,False,"{'a': 0.999, 'e': 0.5000750625928265}",20,11,-0.9769246573052415,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
2974,False,"{'a': 0.999, 'e': 0.5000741896165792}",35,0,-129.24820981031354,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
2975,False,"{'a': 0.999, 'e': 0.5000733209928063}",25,9,25.49351796493784,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2976,False,"{'a': 0.999, 'e': 0.5000724566998146}",20,0,-28.1097585577752,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
