TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
01,2017-11-24,96,AZUL4F,020,AZUL,PN      N2,,R$,27.28,28.10,27.28,27.88,27.95,27.27,27.95,00003,000000000000000006,167.33,0.00,0,9999-12-31,0000001,0.00,BRAZULACNPR4,100
01,2017-11-24,02,BAUH4,010,EXCELSIOR,PN,,R$,13.29,13.29,12.20,12.97,12.20,12.16,12.50,00013,000000000000005200,67484.00,0.00,0,9999-12-31,0000001,0.00,BRBAUHACNPR3,112
01,2017-11-24,02,BBAS3,010,BRASIL,ON  EJ  NM,,R$,32.74,32.75,32.31,32.55,32.60,32.60,32.61,13956,000000000005439100,177087211.00,0.00,0,9999-12-31,0000001,0.00,BRBBASACNOR3,272
01,2017-11-24,96,BBAS3F,020,BRASIL,ON  EJ  NM,,R$,32.70,32.71,32.35,32.56,32.52,32.52,32.56,00302,000000000000006162,200661.18,0.00,0,9999-12-31,0000001,0.00,BRBBASACNOR3,272
01,2017-11-24,62,BBAS3T,030,BRASIL,ON  EJ  NM,017,R$,32.65,32.72,32.55,32.63,32.72,0.00,0.00,00006,000000000000008900,290487.55,0.00,0,9999-12-31,0000001,0.00,BRBBASACNOR3,272
01,2017-11-24,62,BBAS3T,030,BRASIL,ON  EJ  NM,032,R$,32.76,32.88,32.60,32.70,32.88,0.00,0.00,00008,000000000000003400,111193.94,0.00,0,9999-12-31,0000001,0.00,BRBBASACNOR3,272
01,2017-11-24,62,BBAS3T,030,BRASIL,ON  EJ  NM,060,R$,32.92,32.93,32.91,32.92,32.92,0.00,0.00,00010,000000000000700000,23045381.92,0.00,0,9999-12-31,0000001,0.00,BRBBASACNOR3,272
01,2017-11-24,62,BBAS3T,030,BRASIL,ON  EJ  NM,180,R$,34.08,34.09,34.08,34.08,34.09,0.00,0.00,00002,000000000000000100,3408.20,0.00,0,9999-12-31,0000001,0.00,BRBBASACNOR3,272
01,2017-11-24,78,BBASA1,070,BBASE    /EJ,ON      NM,000,R$,0.88,1.04,0.86,0.88,1.04,0.00,0.00,00135,000000000000062000,54790.00,34.63,0,2018-01-15,0000001,0.00,BRBBASACNOR3,270
01,2017-11-24,78,BBASA12,070,BBAS    /EJ,ON      NM,000,R$,1.99,1.99,1.99,1.99,1.99,0.00,0.00,00001,000000000000000700,1393.00,32.38,0,2018-01-15,0000001,0.00,BRBBASACNOR3,271
