PAPER NEGOTIATION CODE,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,SECTORS,SUBSECTORS,SEGMENTS
KLBN4,KLABIN S/A,PN,Basic Materials,Wood and Paper,Pulp and Paper
KROT3,KROTON,ON,Consumer Cyclical,Diversified,Educational Services
LAME3,LOJAS AMERIC,ON,Consumer Cyclical,Retail,Diversified Retailers
LAME4,LOJAS AMERIC,PN,Consumer Cyclical,Retail,Diversified Retailers
LCAM3,LOCAMERICA,ON,Consumer Cyclical,Diversified,Car Rental
LEVE3,METAL LEVE,ON,Consumer Cyclical,Automobiles and Motorcycles,Automobiles and Motorcycles
LIGT3,LIGHT S/A,ON,Utilities,Electric Utilities,Electric Utilities
LINX3,LINX,ON,Information Technology,Software and Services,Software and Services
LIPR3,ELETROPAR,ON,Utilities,Electric Utilities,Electric Utilities
LLIS3,LE LIS BLANC,ON,Consumer Cyclical,Retail,"Apparel, Fabric and Footwear"
LOGN3,LOG-IN,ON,Capital Goods and Services,Transportation,Marine and Water Transport
LPSB3,LOPES BRASIL,ON,Financial,Real Estate,Property Agency
LREN3,LOJAS RENNER,ON,Consumer Cyclical,Retail,"Apparel, Fabric and Footwear"
MAGG3,MAGNESITA SA,ON,Basic Materials,Diversified Materials,Other Materials
MDIA3,M.DIASBRANCO,ON,Consumer Non Cyclical,Food Processors,Other Food Manufacturing
MEAL3,IMC S/A,ON,Consumer Cyclical,Hotels and Restaurants,Restaurants and Similars
MGEL4,MANGELS INDL,PN,Basic Materials,Steel and Metalurgy,Iron and Steel Products
MGLU3,MAGAZ LUIZA,ON,Consumer Cyclical,Retail,Electronics and Household Appliance
MILS3,MILLS,ON,Capital Goods and Services,Construction and Engineering,Diversified Services
MLFT4,JEREISSATI,PN,Telecommunications,Telecommunications,Telecommunications
MNDL3,MUNDIAL,ON,Consumer Cyclical,"Textiles, Apparel and Footwear",Accessories
MNPR3,MINUPAR,ON,Consumer Non Cyclical,Food Processors,"Meat, Poultry and Others"
MOVI3,MOVIDA,ON,Consumer Cyclical,Diversified,Car Rental
MPLU3,MULTIPLUS,ON,Consumer Cyclical,Diversified,Loyalty Programs
MRFG3,MARFRIG,ON,Consumer Non Cyclical,Food Processors,"Meat, Poultry and Others"
MRVE3,MRV,ON,Consumer Cyclical,Heavy Construction,Homebuilding 
MTSA4,METISA,PN,Capital Goods and Services,Machines and Equipments,Agricultural and Construction Machinery
MULT3,MULTIPLAN,ON,Financial,Real Estate,Real Estate
MYPK3,IOCHP-MAXION,ON,Consumer Cyclical,Automobiles and Motorcycles,Automobiles and Motorcycles
NATU3,NATURA,ON,Consumer Non Cyclical,Personal Care and Cleaning Products,Personal Care Products
ODPV3,ODONTOPREV,ON,Health,"Medical and Hospitalar Services,Analysis and Diagnostics","Medical and Hospitalar Services,Analysis and Diagnostics"
OFSA3,OUROFINO S/A,ON,Health,Pharmaceutical and Others Products,Pharmaceutical and Others Products
OGXP3,OGX PETROLEO,ON,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
OMGE3,OMEGA GER,ON,Utilities,Electric Utilities,Electric Utilities
PARD3,IHPARDINI,ON,Health,"Medical and Hospitalar Services,Analysis and Diagnostics","Medical and Hospitalar Services,Analysis and Diagnostics"
PCAR4,P.ACUCAR-CBD,PN,Consumer Non Cyclical,Retail and Distribution,Food Retailers
PETR3,PETROBRAS,ON,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
PETR4,PETROBRAS,PN,"Oil, Gas and Biofuels","Oil, Gas and Biofuels","Exploration, Refining and Distribution"
PFRM3,PROFARMA,ON,Health,Retail and Distribution,Pharmaceutical and Others Products
PINE4,PINE,PN,Financial,Financial Intermediaries,Banks
PLAS3,PLASCAR PART,ON,Consumer Cyclical,Automobiles and Motorcycles,Automobiles and Motorcycles
PMAM3,PARANAPANEMA,ON,Basic Materials,Steel and Metalurgy,Copper Products
