TYPE OF REGISTER,DATE OF EXCHANGE,BDI CODE,PAPER NEGOTIATION CODE,TYPE OF MARKET,ABBREVIATED NAME OF THE COMPANY,PAPER SPECIFICATION,FORWARD MARKET TERM IN DAYS,REFERENCE CURRENCY,MARKET PAPER OPENING FLOOR PRICE,MARKET PAPER HIGHEST FLOOR PRICE,MARKET PAPER LOWEST FLOOR PRICE,MARKET PAPER AVERAGE FLOOR PRICE,MARKET PAPER LAST NEGOTIATED PRICE,MARKET PAPER BEST PURCHASE OFFER PRICE,MARKET PAPER BEST SALES OFFER PRICE,NUMBER OF TRADES CONDUCTED WITH THE MARKET PAPER,TOTAL QUANTITY OF TITLES TRADED WITH THIS MARKET PAPER,TOTAL VOLUME OF TITLES NEGOTIATED WITH THIS MARKET PAPER,STRIKE PRICE FOR THE OPTIONS MARKET OR CONTRACT AMOUNT FOR THE SECONDARY FORWARD MARKET,STRIKE PRICE OR CONTRACT AMOUNT FOR OPTIONS OR SECONDARY FORWARD MARKETS CORRECTION INDICATOR,MATURITY DATE FOR OPTIONS OR SECONDARY FORWARD MARKET,PAPER QUOTATION FACTOR,STRIKE PRICE IN POINTS FOR OPTIONS REFERENCED IN US DOLLARS OR CONTRACT AMOUNT IN POINTS FOR SECONDARY FORWARD,PAPER CODE IN THE IS IN SYSTEM OR PAPER INTERNAL CODE,PAPER DISTRIBUTION NUMBER
1,2017-11-24,2,COCE5,10,COELCE,PN,,R$,53.4,53.63,52.96,53.33,53.1,53.1,54.5,25,4200,224001.0,0.0,0,9999-12-31,1,0.0,BRCOCEACNPA3,137
1,2017-11-24,2,CPFE3,10,CPFL ENERGIA,ON,,R$,27.63,27.64,27.47,27.57,27.58,27.55,27.58,1636,1705100,47014884.0,0.0,0,9999-12-31,1,0.0,BRCPFEACNOR0,127
1,2017-11-24,2,CPLE3,10,COPEL,ON,,R$,21.57,21.6,20.73,21.23,20.9,20.9,21.03,202,58400,1239998.0,0.0,0,9999-12-31,1,0.0,BRCPLEACNOR8,134
1,2017-11-24,2,CPLE6,10,COPEL,PN,,R$,25.38,25.62,24.63,25.1,24.83,24.83,24.89,4159,1200000,30128140.0,0.0,0,9999-12-31,1,0.0,BRCPLEACNPB9,131
1,2017-11-24,2,CPRE3,10,CPFL RENOVAV,ON,,R$,13.98,13.98,13.7,13.87,13.95,13.61,13.95,10,10900,151255.0,0.0,0,9999-12-31,1,0.0,BRCPREACNOR5,100
1,2017-11-24,2,CRDE3,10,CR2,ON,,R$,1.49,1.49,1.49,1.49,1.49,1.43,1.49,2,3000,4470.0,0.0,0,9999-12-31,1,0.0,BRCRDEACNOR1,109
1,2017-11-24,2,CREM3,10,CREMER,ON,,R$,9.41,9.41,9.4,9.4,9.4,0.0,9.9,3,800,7521.0,0.0,0,9999-12-31,1,0.0,BRCREMACNOR2,176
1,2017-11-24,2,CRFB3,10,CARREFOUR BR,ON,,R$,15.12,15.37,14.72,15.17,15.11,15.11,15.17,6138,1921600,29159922.0,0.0,0,9999-12-31,1,0.0,BRCRFBACNOR2,100
1,2017-11-24,2,CRIV3,10,ALFA FINANC,ON,,R$,3.26,3.26,3.26,3.26,3.26,3.26,3.48,4,3800,12388.0,0.0,0,9999-12-31,1,0.0,BRCRIVACNOR4,190
1,2017-11-24,2,CRIV4,10,ALFA FINANC,PN,,R$,4.69,4.69,4.69,4.69,4.69,4.61,4.7,4,500,2345.0,0.0,0,9999-12-31,1,0.0,BRCRIVACNPR1,198
1,2017-11-24,2,CRPG5,10,CRISTAL,PN,,R$,17.3,17.39,17.3,17.32,17.38,17.26,17.37,8,1400,24257.0,0.0,0,9999-12-31,1,0.0,BRCRPGACNPA3,101
1,2017-11-24,2,CRPG6,10,CRISTAL,PN,,R$,16.69,16.8,16.69,16.7,16.8,16.51,16.9,3,1100,18379.0,0.0,0,9999-12-31,1,0.0,BRCRPGACNPB1,101
1,2017-11-24,2,CSAN3,10,COSAN,ON,,R$,36.81,37.0,36.49,36.74,36.51,36.51,36.6,3398,568000,20873931.0,0.0,0,9999-12-31,1,0.0,BRCSANACNOR6,117
1,2017-11-24,2,CSMG3,10,COPASA,ON,,R$,42.92,42.92,42.33,42.56,42.8,42.58,42.8,1325,196600,8368003.0,0.0,0,9999-12-31,1,0.0,BRCSMGACNOR5,145
1,2017-11-24,2,CSNA3,10,SID NACIONAL,ON,,R$,8.1,8.23,7.88,8.05,7.93,7.93,7.94,9458,7958400,64071489.0,0.0,0,9999-12-31,1,0.0,BRCSNAACNOR6,248
1,2017-11-24,2,CTAX3,10,CONTAX,ON,,R$,4.59,4.6,4.28,4.38,4.28,4.28,4.5,58,30400,133224.0,0.0,0,9999-12-31,1,0.0,BRCTAXACNOR3,118
1,2017-11-24,2,CTKA3,10,KARSTEN,ON,,R$,4.75,4.75,4.75,4.75,4.75,4.0,4.8,1,2000,9500.0,0.0,0,9999-12-31,1,0.0,BRCTKAACNOR0,43
1,2017-11-24,2,CTKA4,10,KARSTEN,PN,,R$,3.2,3.36,3.03,3.35,3.28,3.06,3.2,6,18900,63319.0,0.0,0,9999-12-31,1,0.0,BRCTKAACNPR7,43
1,2017-11-24,2,CTNM4,10,COTEMINAS,PN,,R$,6.2,6.2,6.05,6.1,6.13,6.0,6.13,9,3200,19548.0,0.0,0,9999-12-31,1,0.0,BRCTNMACNPR6,129
1,2017-11-24,2,CTSA3,10,SANTANENSE,ON,,R$,3.52,3.52,3.4,3.48,3.4,3.3,3.53,10,12500,43620.0,0.0,0,9999-12-31,1,0.0,BRCTSAACNOR3,54
1,2017-11-24,2,CVCB3,10,CVC BRASIL,ON,,R$,46.15,46.73,45.68,46.36,46.65,46.63,46.65,2391,396300,18373050.0,0.0,0,9999-12-31,1,0.0,BRCVCBACNOR1,107
1,2017-11-24,2,CYRE3,10,CYRELA REALT,ON,,R$,12.6,12.99,12.54,12.71,12.91,12.86,12.91,3847,2297100,29196717.0,0.0,0,9999-12-31,1,0.0,BRCYREACNOR7,129
1,2017-11-24,2,DASA3,10,DASA,ON,,R$,27.0,27.0,27.0,27.0,27.0,27.01,29.0,4,800,21600.0,0.0,0,9999-12-31,1,0.0,BRDASAACNOR1,114
1,2017-11-24,2,DIRR3,10,DIRECIONAL,ON,,R$,6.0,6.11,5.9,5.99,5.96,5.93,5.96,1305,369300,2214811.0,0.0,0,9999-12-31,1,0.0,BRDIRRACNOR0,109
